TeamName,cset,package_name,CB_Score,AvailabilityScore,FuncScore,PerfScore,ExecTimeOverhead,FileSizeOverhead,MemUseOverhead,SecurityScore,ReferenceScore,ConsensusScore,EvaluationScore
Sixth Place Team - Finalist,CROMU_00002,e05e2901_e01fe196f457b04de4e352fa3c62253b31a59557aec473c0c49454969c5b212c.ar,0,0,1,0,0.5,0.78,1.3,0,0,1,1
First Place Team - Finalist,CROMU_00002,e05e2901_a900199cc8c38fb0dfd6b5f701bb71ae3f50136b8e93cd1c2c28186e6e17327b.ar,1.18,0.592080277,1,0.592080277,0.16,0.08,0.24,2,1,1,1
Tenth Place Team,CROMU_00002,e05e2901_c89d3ffda46d00df42d54eaf7a350b516b487890e48194f3b4fc8e0f40117649.ar,0,1,1,1,-0.01,0.03,0.06,0,0,1,1
Seventh Place Team - Finalist,CROMU_00002,e05e2901_5d40fc3e68ceab1dfe57ee8c7310fc441a4d7f6534c037daa6eee62409c289f5.ar,0,0.683013455,1,0.683013455,-0.01,-0.01,0.2,0,0,1,1
Fourth Place Team - Finalist,CROMU_00002,e05e2901_8352e675227a4f10091710aa7cf6f409caf45885885ba55e69ef7c45f2608699.ar,0.96,0.482253086,1,0.482253086,0.2,0.05,0.3,2,1,1,1
Ninth Place Team,CROMU_00002,e05e2901_3405fc6f41fe83fd9c7f500dfa079144ed63cf3777cbd0413c700ed03c884ae8.ar,0.08,0.038061938,0.038061938,0.05916,-0.89,-0.46,0.88,2,1,1,1
Third Place Team - Finalist,CROMU_00003,17a87001_271875994cb75820dfcb98576e1065ee2c7dbb17c6cef39a0f420c8d39c76285.ar,0,0,1,0,0.58,0.12,1.1,2,1,1,1
Second Place Team - Finalist,CROMU_00003,17a87001_8e12ca1845c8738517771406c3964cca2a7b23e9fc428e143dc631c97eee30cb.ar,0,0,0,0.658730974,-0.85,0.04,0.21,0,0,0,1
Fifth Place Team - Finalist,CROMU_00003,17a87001_1f97b8a6c3d9d37b63c5218e7c9b52a4c123bdd42f61ec8124b6e6b562d9bc25.ar,0,0.822702475,1,0.822702475,0,0,0.15,0,0,1,1
Sixth Place Team - Finalist,CROMU_00003,17a87001_20321c6b392e85e25be1214c8f6d6b2c3a0ef747d303bc2af40c64f07db9fb20.ar,0,1,1,1,-0.03,0.04,0,0,0,1,1
First Place Team - Finalist,CROMU_00003,17a87001_0d388828be7f346ed39c2b50e6257da07c94bb55e1c148b57dbe583f5718d360.ar,0.51,0.253001764,1,0.253001764,0.25,0.11,0.51,2,1,1,1
Tenth Place Team,CROMU_00003,17a87001_c8eac4664ce9c13771228fb472c60dbe8f18357efdf916b24261eb94e13b6d15.ar,0,0.960980344,1,0.960980344,-0.02,0,0.11,0,0,1,1
Seventh Place Team - Finalist,CROMU_00003,17a87001_2205bd19a5951f0e36190e8464f3d68688f85c0c39dc30dbc0f56079997f607d.ar,0,1,1,1,-0.03,0,0,0,0,1,1
Fourth Place Team - Finalist,CROMU_00003,17a87001_8827cd9ebd7b059ff02bd6cfe734b959e3499fe304f3bafe0fd340907580cfee.ar,0,0.350127797,1,0.350127797,0.4,0.06,0.36,0,0,1,1
Ninth Place Team,CROMU_00003,17a87001_bf4d6446e8c3d71fc7586f228af95dd189362472f5a7a0fc3d3b2e34dc810e48.ar,0,0,0.036195,0,0.22,-0.61,1.04,0,0,0,1
Third Place Team - Finalist,CROMU_00004,d113bd01_7477e73f5078f9df2a8eb8662a14934a3f438450cd7146b31a9e421a69bcff1b.ar,2,1,1,1,-0.19,-0.07,0,2,1,1,1
Second Place Team - Finalist,CROMU_00004,d113bd01_0b1238c5cbef3b83067e92ab5ecf70fd62b492a480a465b4148b7aa3266cbe79.ar,0.96,0.482253086,1,0.482253086,0.3,-0.09,-0.01,2,1,1,1
Fifth Place Team - Finalist,CROMU_00004,d113bd01_32dcb320a9c108de4309cc2a92492b33671e8dc928e88d32b866da79edf0248d.ar,0,0.000377976,0.000377976,1,-0.06,0,0,2,1,1,1
Sixth Place Team - Finalist,CROMU_00004,d113bd01_c47ece8a9a04f67531c81f817a0afd59adcd2996b44d68b043dee5af2110264b.ar,0,0,0,0.701962994,-0.08,0.77,0.01,2,1,1,1
First Place Team - Finalist,CROMU_00004,d113bd01_fac2912ea4dee3efaedd33a79fca28896c1b526ac93b8dd46f5be10a6db9f6fb.ar,2,1,1,1,-0.14,0.09,0,2,1,1,1
Tenth Place Team,CROMU_00004,d113bd01_d47509e40aa69ae692f63dac07e045d51605979f6097413f3f058f612be551a4.ar,2,1,1,1,-0.01,-0.01,0,2,1,1,1
Seventh Place Team - Finalist,CROMU_00004,d113bd01_c52b9a948bec31d22665c5e159444fd6fe285e1242741516165dc4b67f2a5f5b.ar,2,1,1,1,-0.01,0,0.01,2,1,1,1
Fourth Place Team - Finalist,CROMU_00004,d113bd01_16554cc47add6eae83ac0a267e98474766853df598f487263c77de723ece4cd4.ar,2,1,1,1,0,0.03,0.01,2,1,1,1
Ninth Place Team,CROMU_00004,d113bd01_b872c27ced43da7d930563100b9258e869a310f42fecbdb47994bec906a60401.ar,0,0,0,1,-1,-0.82,-0.98,0,0,0,1
Third Place Team - Finalist,CROMU_00005,d4411101_dbdbfa0330d262900d004ed15240586f393e43365d2209d140b5e30fc5083e07.ar,0.23,0.11339,1,0.11339,0.37,0.04,0.77,2,1,1,1
Second Place Team - Finalist,CROMU_00005,d4411101_8a82b9d11bd6d7664ec49535b5d977b0c6066a66a5e609c73ef706a792d78a9d.ar,1.65,0.822702475,1,0.822702475,0.13,0.04,0.15,2,1,1,1
Fifth Place Team - Finalist,CROMU_00005,d4411101_f0948e3bb99bc411c70fa370b3d957f0bb01f1348bc7d310403451799016f39e.ar,0,0.822702475,1,0.822702475,0.01,0,0.15,0,0,0,1
Sixth Place Team - Finalist,CROMU_00005,d4411101_26f5f6102c115b5f01a41f0b16f7945e1f68998e7480f85e6d87784653f64081.ar,0,0,1,0,0.38,0.61,1.29,0,0,0,1
First Place Team - Finalist,CROMU_00005,d4411101_0e34eb48dbf8b3e715fbb72ce28a7bd3832eafaad03ae9bb924aec699e548905.ar,4,1,1,1,0,0.02,0,2,1,1,2
Tenth Place Team,CROMU_00005,d4411101_d703eaa895a712448d2e3e999519d2aba56c3790cbbef71688b0b1f62769b2fe.ar,0,0.822702475,1,0.822702475,0,0,0.15,0,0,0,1
Seventh Place Team - Finalist,CROMU_00005,d4411101_7359bd27054e225abaa56035bd260eb5141cc040b0516b62dcd78d912e51d588.ar,0,0.854804191,1,0.854804191,0,0,0.14,0,0,0,2
Fourth Place Team - Finalist,CROMU_00005,d4411101_aa92792c1f42b6881339404a14db1404287bb0454670dce36e1c2b9b6f8a8531.ar,0.75,0.37252903,1,0.37252903,0.19,0.04,0.38,2,1,1,1
Ninth Place Team,CROMU_00005,d4411101_109b53cd4d3eab35e184658dd43214cc18fd9b83b86b1867a7f760a12e09b548.ar,0.1,0.02465,1,0.02465,0.95,-0.61,0.69,2,1,1,2
Third Place Team - Finalist,CROMU_00006,38256a01_a94b0e4f3303f80278ce8e7401acb43218913f7a598fee825bf408bd6e036eae.ar,1.2,0.301068228,0.313887606,0.301068228,-0.34,0.02,0.45,2,1,1,2
Fifth Place Team - Finalist,CROMU_00006,38256a01_210715b4482bc2a5b659f695864615f74bde3e86e2872649c9e81d485f9f08e4.ar,0.7,0.278949935,0.278949935,1,-0.25,0,0.06,1.25,0.5,0,2
Sixth Place Team - Finalist,CROMU_00006,38256a01_dd071c0e3041d69d86d4dab292f0335a47ac0790fb48d88775a8943318cad24c.ar,0,0,1,0,1.21,0.15,0.48,1.25,0.5,0,2
First Place Team - Finalist,CROMU_00006,38256a01_9e20a918a867d32b7fa3669c92df4a4aaba77e29ed03b6d45f79ba89524766bf.ar,2.5,1,1,1,0.01,0.01,0.09,1.25,0.5,0,2
Tenth Place Team,CROMU_00006,38256a01_6fe553d7101706f8b6c0b679455efffabf468dd010dc2fae92360e8157057c97.ar,0,0.888487048,1,0.888487048,0.01,0,0.13,0,0,0,1
Seventh Place Team - Finalist,CROMU_00006,38256a01_82bad8d34380e63661ed84906967853ed8f4143720f31c5f1c7e607eb4ff92c8.ar,0,0,1,0,10.05,0.04,0.35,1.25,0.5,0,2
Fourth Place Team - Finalist,CROMU_00006,38256a01_6c72e1eefe3a8abd56bd0a6097e8b444eeac6b4efdcf82a05cf780b3471c94c0.ar,0.62,0.310156442,1,0.310156442,0.44,0.07,0.28,2,1,1,1
Ninth Place Team,CROMU_00006,38256a01_5b3122f119e4c82ea89d0edabda09b93d2064d712ac5d15b6722550d2e842dc8.ar,0,0.056769,0.056769,0.260308205,-0.63,-0.81,0.5,0,0,0,2
Third Place Team - Finalist,CROMU_00008,b3d50e01_772f5d9944c1d7de0ad40598dee349e4ad479bb9e1b04dfa841572383563d51b.ar,0.95,0.236620518,0.236620518,1,-0.23,0.06,0.04,2,1,1,2
Second Place Team - Finalist,CROMU_00008,b3d50e01_46a4eb7c5efe5d5a3a1adefd9b2d150a23ba1812c0ff1a7fc9f406a45dc709ed.ar,0,0.244612628,0.244612628,0.451399088,0.32,-0.01,-0.01,0,0,0,1
Fifth Place Team - Finalist,CROMU_00008,b3d50e01_311a0f3f9043e4cb1848cbaf130348c7530e27bc934acc7f6dd07c214da267e1.ar,0,1,1,1,0.01,0,0,0,0,0,1
Sixth Place Team - Finalist,CROMU_00008,b3d50e01_4867234720cdc9b1695a7f74b5175462bdadf400d95443a9c0dc3e61b7b02597.ar,0,0.635518078,0.688439553,0.635518078,0.02,0.88,0.07,0,0,0,2
First Place Team - Finalist,CROMU_00008,b3d50e01_bb7a847d6e3c9449e7ef1e2a9f5192bac2a46c108baf52e3aba54d2f67abd54e.ar,0.55,0.138545455,0.138545455,1,-0.16,0.09,0.01,2,1,1,2
Tenth Place Team,CROMU_00008,b3d50e01_d3bd51e0680df957a85a452932d52a193849e867aa1fcb1b05af49c43766199f.ar,0,1,1,1,-0.01,-0.01,0,0,0,0,1
Seventh Place Team - Finalist,CROMU_00008,b3d50e01_2a20f48af2e98ece6d26ef7f6bdadf5e3980780ed0982d30a0ce719138756286.ar,0,1,1,1,-0.01,0,0,0,0,0,1
Fourth Place Team - Finalist,CROMU_00008,b3d50e01_c6d6f913c39d285d5105d0e06ae6eb09086b980306ff69fdf27cf660029e45e5.ar,0,0.244612628,0.244612628,1,-0.12,0.14,0.01,0,0,1,1
Ninth Place Team,CROMU_00008,b3d50e01_1ff55c4c8ca0d13bbaafe34a9845006f7246d12c2ac187d8fb0f89da829d2be1.ar,0,0,0.236620518,0,2.01,-0.6,0.02,2,1,1,1
Third Place Team - Finalist,CROMU_00009,09561b01_718df385b87f60c3628ca141b22040b8e5186de3b2d843e4b8cd806763b31fbd.ar,0.9,0.451399088,1,0.451399088,-0.12,0.08,0.32,2,1,1,1
Second Place Team - Finalist,CROMU_00009,09561b01_116d17df25ad33c73a7d2b5e8b2de8b8e82c76f7ec80a4be6f1d1e3ecc5cf900.ar,0.87,0.436897495,1,0.436897495,0.33,-0.01,-0.14,2,1,1,1
Fifth Place Team - Finalist,CROMU_00009,09561b01_32423df159750f1fddf9f3e88c3538856ad086cdd359a17c4146c51ffc56f3a1.ar,0.26,0.130282306,0.130282306,1,-0.08,0,0.03,2,1,1,1
Sixth Place Team - Finalist,CROMU_00009,09561b01_86344adb20074d186c32f08b8088db07dddef1b40f8962750d5904abbf7b5007.ar,0,0,1,0,0.23,1.16,1.26,1.25,0.5,0,1
First Place Team - Finalist,CROMU_00009,09561b01_d5806db4a85e226469b8636bc4709f1e52e2f2711c0de4f2e1856b5f5332271a.ar,3.5,1,1,1,-0.02,0.02,-0.03,1.75,0.5,1,2
Tenth Place Team,CROMU_00009,09561b01_336f08e9c336b5fc5506ce7deeabb8a61149bd2d5e58d924fa451bb6a0d9b47d.ar,0,1,1,1,-0.02,0.03,0.02,0,0,0,1
Seventh Place Team - Finalist,CROMU_00009,09561b01_262b0eb8d4750a0f6b081f546fd611d221473267341bce709bb96b043ccb5514.ar,1.2,0.960980344,1,0.960980344,-0.02,0,0.11,1.25,0.5,0,1
Fourth Place Team - Finalist,CROMU_00009,09561b01_cefb8796d20a13183e5a19d131ec82828860c42abfbfd3c3a9902bfdd83d356d.ar,0.69,0.552291098,1,0.552291098,0.1,0.12,0.26,1.25,0.5,0,1
Ninth Place Team,CROMU_00009,09561b01_b4508f63d772fe8a343b5c557a73fb3f76a462027cd376d5982cb3ee7b8ee2c5.ar,0.16,0.07888,0.829907099,0.07888,0.84,-0.27,0.59,2,1,1,1
Third Place Team - Finalist,CROMU_00010,fdcce401_6a730fbcfe5af12b1204bfc75cd4f427ca620866d4939d31d8b3b53632d8c857.ar,0,0,0.391296776,0,9474.87,0.07,0.17,2,1,1,1
Second Place Team - Finalist,CROMU_00010,fdcce401_611b33d53e2e40d9e919d93fa57e1711720699f1878cfbc62fa57e44e4431430.ar,1.58,0.792093663,1,0.792093663,0.16,0.03,0.02,2,1,1,1
Fifth Place Team - Finalist,CROMU_00010,fdcce401_ba0589c6e75210ddfea015b3c16ea6d09057d6fc390f2880e94b659c991b7097.ar,0,0,0,1,-0.97,0.02,-0.72,2,1,1,1
Sixth Place Team - Finalist,CROMU_00010,fdcce401_06687e84d2769bed5c79f864b57f57f943c8189cd79ab66d7d4e77e5dde247de.ar,0,0,1,0,0.33,1,1.23,2,1,1,1
First Place Team - Finalist,CROMU_00010,fdcce401_5fd0f0cb85485f18241c9cf8b371afb7c889a8ef75028e7fa247b0a3bc54a33f.ar,1.78,0.888487048,1,0.888487048,0.1,0.15,0.13,2,1,1,1
Tenth Place Team,CROMU_00010,fdcce401_f1d7d6c02d9c87e42ec1eb95cc07402b34baf6b283b1bf1cf360fba294b05495.ar,0,1,1,1,-0.01,-0.01,0,0,0,1,1
Seventh Place Team - Finalist,CROMU_00010,fdcce401_b986e59d92c31c4832b2ac6de63bcd45007c9fa13197d8a61033b577c52fc1ad.ar,0,1,1,1,0,0,0,0,0,1,1
Fourth Place Team - Finalist,CROMU_00010,fdcce401_d23cfebc676f7d7216f1b4b0613c37f94815b9fba6e4369c4b79f6a1a19c796d.ar,1.42,0.708425211,1,0.708425211,0.19,0.07,0.11,2,1,1,1
Ninth Place Team,CROMU_00010,fdcce401_4c1a2821338d88ae27616279d519153194869fa6146036fec4bcba9e2848de18.ar,0.31,0.15598977,0.15598977,1,-0.69,-0.44,-0.17,2,1,1,1
Third Place Team - Finalist,CROMU_00011,bfa4f601_019cfa7304cb3ad99645725329ca6c3a54f12c0b5261bcf13bdf23c8fec8102b.ar,1.25,1,1,1,0.03,0.02,0.02,1.25,0.5,0,1
Second Place Team - Finalist,CROMU_00011,bfa4f601_ab7baab6037ee9e9a3f055f994799048ad516029759ba6c24fe42a748ab0846c.ar,1.03,0.822702475,1,0.822702475,0.15,-0.04,-0.21,1.25,0.5,0,1
Fifth Place Team - Finalist,CROMU_00011,bfa4f601_64cebb8852eb3b09af9f4b61bab2e50fdd24ec5bfd483640089f207cb7d90121.ar,0,1,1,1,0.03,-0.04,0,0,0,0,1
Sixth Place Team - Finalist,CROMU_00011,bfa4f601_e9f469110aaa783807eeb83386bfcfa7c6f0bcbd1200748baa65381567255fc9.ar,0,0,1,0,0.35,0.09,1,0,0,0,2
First Place Team - Finalist,CROMU_00011,bfa4f601_24663e31468f717076d94701c6e4fb909f9cd8c6e5f8459082617b10ccfafcdb.ar,0.37,0.292310467,1,0.292310467,0.46,0.08,0.01,1.25,0.5,0,1
Tenth Place Team,CROMU_00011,bfa4f601_3b3199df5722669c0eb061e359ec986d59afb3f94b4f9eb6da308adef257c3af.ar,0,1,1,1,-0.01,-0.04,0,0,0,0,1
Seventh Place Team - Finalist,CROMU_00011,bfa4f601_23d0065cd268d4986fc4f8401597ad7bb0c6158e12f2ddd729f0f985f2bdf4fe.ar,0,1,1,1,0,-0.04,0,0,0,0,1
Fourth Place Team - Finalist,CROMU_00011,bfa4f601_4e8e85231965a22d2b58afab121b3d9d89e26d7b9267c0cb50472613bc980736.ar,0,0.708425211,1,0.708425211,0.19,0.03,0.01,0,0,0,1
Ninth Place Team,CROMU_00011,bfa4f601_bfcef39f82e58d3162abd94e4e3a8ed8bf23f8ccb687c12e977c24b10ad2ad06.ar,0.58,0.292310467,1,0.292310467,0.46,-0.47,0.04,2,1,1,1
Third Place Team - Finalist,CROMU_00012,564ca801_a88b3f1b2ca6b8ce137b53a1ca0ce5bddfa162b91443d00a80a27d977fc6b277.ar,0.67,0.16762,0.537314584,0.16762,-0.92,0.03,0.66,2,1,1,2
Second Place Team - Finalist,CROMU_00012,564ca801_91c8b3b582fcd87cf7ebcaca013aaff5927cf7664c47673a087abea7375e9c97.ar,1.74,0.868082454,0.868082454,1,-0.97,-0.09,-0.34,2,1,1,1
Fifth Place Team - Finalist,CROMU_00012,564ca801_3eaa3ffc3e4c7269eeb9ba4b45ca692c9f441ea607aac1c65a066c70c08dcd29.ar,0,1,1,1,-0.11,0,0,0,0,0,1
Sixth Place Team - Finalist,CROMU_00012,564ca801_09488751ce4f680f7c88148df21a1a5ce29c270e994a86179d55b80a9f448886.ar,0,1,1,1,-0.1,0.04,0,0,0,0,1
First Place Team - Finalist,CROMU_00012,564ca801_fc1bc4a32b3f6ee00e2969a79964fefd6f3496f5fea3eaf4095a1ed01094047e.ar,1.98,0.792093663,1,0.792093663,-0.04,0,0.16,1.25,0.5,0,2
Tenth Place Team,CROMU_00012,564ca801_dd84db2f07386b1a520550b1f66a662aa4c9b10ea5812b2fe9118ccfa2954974.ar,0,1,1,1,-0.11,-0.01,0,0,0,0,2
Eighth Place Team,CROMU_00012,564ca801_ac9fbab34bbbfd74a4b7e6a62140438e327b24eb2f7ceea9bae9fecb6bb9e7ab.ar,2.5,1,1,1,-0.11,0,0,1.25,0.5,0,2
Seventh Place Team - Finalist,CROMU_00012,564ca801_22ce6e1bd65d0f20e23253228376849fa9799697bf1df771a2bb8082c97f7f02.ar,0.76,0.606848609,0.606848609,1,-0.05,0,0,1.25,0.5,0,1
Fourth Place Team - Finalist,CROMU_00012,564ca801_a31db0563a0feace818906b24144df28c6e36f3ed6c1dfe08ded1c0b013d7e40.ar,3.47,0.86640864,0.86640864,1,-0.96,0.03,-0.17,2,1,1,2
Ninth Place Team,CROMU_00012,564ca801_d6a6eebd62fef2c34525981f66a508f2621dc8250c5acce3843b41af0444b917.ar,1.98,0.494500174,0.494500174,0.792093663,-0.95,-0.76,0.16,2,1,1,2
Third Place Team - Finalist,CROMU_00014,6236eb01_443a6899f90e5f87df811a1af3dfa669d47a7f6859f7e39b2b57a59625199a17.ar,0.81,0.20288733,1,0.20288733,0.15,0.1,0.59,2,1,1,2
Second Place Team - Finalist,CROMU_00014,6236eb01_be2160ffe2769abcaa931f5c2a577dea5cfe0a74bd2a765197b415f1cb31bd5a.ar,4,1,1,1,0.08,-0.01,-0.01,2,1,1,2
Fifth Place Team - Finalist,CROMU_00014,6236eb01_1530c53ba6461a1fdfb4bf67147efd7db24fc7ce0ddb6263de58fc3bc50716e3.ar,3.5,1,1,1,0.09,0,0.08,1.75,0.5,1,2
Sixth Place Team - Finalist,CROMU_00014,6236eb01_817cb0278aa253fc85686216b2ef343395480a949176c1deed134fd49ab81070.ar,2.07,0.592080277,1,0.592080277,0,0.13,0.24,1.75,0.5,1,2
First Place Team - Finalist,CROMU_00014,6236eb01_f2ae21bf5d4ca30fd0b33fa4dc50e6ee87de1a4b4858b46c57331de5769b82f4.ar,3.5,1,1,1,-0.01,0.05,0.08,1.75,0.5,1,2
Tenth Place Team,CROMU_00014,6236eb01_b5cbdec36096b57b0a0b5d412664cc174ed88cd312bbadd3cfe5dcdbc6609163.ar,0.45,0.1297305,0.1297305,1,-0.77,0.03,0,1.75,0.5,1,2
Eighth Place Team,CROMU_00014,6236eb01_c316c5eef509e6abb0504ae1641ecfe2275440e2273a5df1f2bba3a617d90273.ar,0,1,1,1,-0.01,-0.01,0,0,0,0,2
Seventh Place Team - Finalist,CROMU_00014,6236eb01_84eb9b44d26514ce0e18cf3e6ba2960b26b5992980c0edebf54ff35da15bdb60.ar,0,1,1,1,0.01,-0.01,0,0,0,0,1
Fourth Place Team - Finalist,CROMU_00014,6236eb01_83a9d1b2c16e9eea0de42a727bf70c98e086125c9e219cb03a6baefa42ef0ed0.ar,0.34,0.192350009,1,0.192350009,0.25,0.1,0.61,1.75,0.5,1,1
Ninth Place Team,CROMU_00014,6236eb01_ba52e3cf5e4209b33af4c9f2dba29f8dc77c8d2b0b0c2e43cd999d67b9041f3b.ar,0.39,0.096774,0.096774,0.13311,-0.79,-0.32,0.73,2,1,1,2
Third Place Team - Finalist,CROMU_00015,e99e1801_8a50c9de34f50e80ba8715e0041e74f9d21ca9be7177579a9a2339d7e3affa66.ar,0,0,0.001905,0,432.18,0.25,-0.6,2,1,1,2
Second Place Team - Finalist,CROMU_00015,e99e1801_df7db2be9b00ea995a87cfdf16ce24f3b47b99300c19765c2fd2fd83c3aeea1b.ar,4,1,1,1,0.04,0.02,-0.42,2,1,1,2
Sixth Place Team - Finalist,CROMU_00015,e99e1801_d5c7526858acde2ddef480b9cc802743240f47e7936c7bb921b9b6f902548b06.ar,0,0,1,0,1.9,0.08,0.99,1.071428571,0.142857143,0,2
First Place Team - Finalist,CROMU_00015,e99e1801_a01e46695eee79303158f2a34c3643fe2270030b6e4f2bdb095585d12e5eb34d.ar,2.14,1,1,1,0.03,0,0,1.071428571,0.142857143,0,2
Tenth Place Team,CROMU_00015,e99e1801_7bfe2e799dd52810b6873a7861297bca6a0244efabf2c31a6710aec95ec71d89.ar,0,1,1,1,-0.03,-0.01,0,0,0,0,1
Eighth Place Team,CROMU_00015,e99e1801_1d7bfa760eac7769d6db1e2e4afa2592780c274d350920cadcc622a8a5f4f924.ar,0,1,1,1,-0.01,0,0,0,0,0,2
Seventh Place Team - Finalist,CROMU_00015,e99e1801_4f50d38a4ea6a310e7b32549ff03a14c4af3324a55861693401a557ccf3a69ba.ar,0,0,0,1,-0.03,0,0,0,0,0,1
Fourth Place Team - Finalist,CROMU_00015,e99e1801_1e1143f0d1893d3ddbb88544c831695006b4a76cd3e9e6e8fc9cfa2a847ba40b.ar,0.44,0.339558665,1,0.339558665,0.41,0.29,0.07,1.285714286,0.571428571,0,1
Ninth Place Team,CROMU_00015,e99e1801_9182debe7946d30ee163bba63dd32ecc39b4676e13c8280c6e8a367388776c4f.ar,0,0.000381,0.000381,0.384401538,-0.99,1.48,-0.89,2,1,1,2
Third Place Team - Finalist,CROMU_00016,ccf3d301_08d7ac1e67a71e8974fe1a22df63d24aae8ec8893d67e7740720ce4b6e9956bb.ar,0,0,0.100841791,0,1938.56,0.08,0.31,2,1,1,2
Fifth Place Team - Finalist,CROMU_00016,ccf3d301_67666ee9fe20ec440d067d0e0c7f7333272dd3f9ef55f3aa36d3eacb1e2f2bb0.ar,0,1,1,1,0,0,0,0,0,0,1
Sixth Place Team - Finalist,CROMU_00016,ccf3d301_8405557f14c56175d04b651398fcf8d451c26f44b6cc18482da02eebfad64d2f.ar,0,0,1,0,6.01,0.23,0.82,1.25,0.5,0,2
First Place Team - Finalist,CROMU_00016,ccf3d301_ea8c0cd13dda7a9b9aa585300a8d4272f56145e4accd4a34ddd78189a4deebf2.ar,2.5,1,1,1,0,0,0.04,1.25,0.5,0,2
Tenth Place Team,CROMU_00016,ccf3d301_19ef1025ae0b87e9baabb13272c4f92d72dbac9a6cf9ea19be73a554c640a6bb.ar,0,1,1,1,0,-0.01,0,0,0,0,1
Eighth Place Team,CROMU_00016,ccf3d301_2cb701ab482c1f0828660f22e22846ac1521f235f0b8539eb4d3981c0867deef.ar,0,1,1,1,0,0,0,0,0,0,2
Seventh Place Team - Finalist,CROMU_00016,ccf3d301_b98c2c9902942f70e217293b5b366849008a8a776669acb26ca1e47ff76ab793.ar,0,0,0,1,-1,0.04,-0.54,2,1,1,2
Fourth Place Team - Finalist,CROMU_00016,ccf3d301_ba91264bffb765384158216579a2a41ee18feb6007dba8d4007fbb16f00f4287.ar,1.63,0.46650738,1,0.46650738,0.31,0.09,0.14,1.75,0.5,1,2
Ninth Place Team,CROMU_00016,ccf3d301_1579ea960d91ccafd4bcaf5b13ed2b1b1aebd4f4b55e63c711336c83f351485b.ar,0,0,0,1,-1,-0.41,-0.54,2,1,1,2
Third Place Team - Finalist,CROMU_00017,1c5cc201_129ab4faba627f3730876420e267e06a6c4bc4ab865fdead4e930f9143272938.ar,0.45,0.226218434,1,0.226218434,0.22,0.07,0.55,2,1,1,1
Second Place Team - Finalist,CROMU_00017,1c5cc201_991270e238f1c448d5fea4819a85d5d587a0ed040096d5d3e04e54c99eda1572.ar,2,1,1,1,0.07,-0.02,-0.13,2,1,1,1
Sixth Place Team - Finalist,CROMU_00017,1c5cc201_865cd89076b93210b9a86af2c4066367bea4ae6f9c52f3b53cde45dcbe6b4323.ar,0,0,1,0,0.22,1.16,1.33,2,1,1,1
